run,evaluations,best_so_far
3,87393,75.17999999999998
3,87409,75.17999999999998
3,87425,75.17999999999998
3,87439,75.17999999999998
3,87457,75.17999999999998
3,87473,75.17999999999998
3,87475,75.17999999999998
3,87491,75.17999999999998
3,87525,75.17999999999998
3,87541,75.17999999999998
3,87567,75.17999999999998
3,87583,75.17999999999998
3,87613,75.17999999999998
3,87627,75.17999999999998
3,87641,75.29
3,87655,75.29
3,87669,75.29
3,87685,75.29
3,87701,75.29
3,87727,83.36
3,87755,83.36
3,87783,83.36
3,87809,83.36
3,87837,83.36
3,87853,83.36
3,87867,83.36
3,87893,83.36
3,87919,83.36
3,87947,83.36
3,87975,83.36
3,88003,83.36
3,88023,83.36
3,88049,83.36
3,88051,83.36
3,88067,83.36
3,88083,83.36
3,88109,83.36
3,88137,83.36
3,88167,83.36
3,88193,83.36
3,88195,83.36
3,88209,83.36
3,88225,83.36
3,88239,83.36
3,88241,83.36
3,88255,83.36
3,88283,83.36
3,88297,83.36
3,88313,83.36
3,88341,83.36
3,88375,83.36
3,88389,83.36
3,88391,83.36
3,88405,83.36
3,88421,83.36
3,88437,83.36
3,88465,83.36
3,88481,83.36
3,88509,83.36
3,88537,83.36
3,88553,83.36
3,88567,83.36
3,88597,83.36
3,88611,83.36
3,88625,83.36
3,88641,83.52
3,88669,83.52
3,88683,83.52
3,88697,83.52
3,88727,83.52
3,88743,83.52
3,88761,83.52
3,88787,94.55000000000001
3,88813,94.55000000000001
3,88839,94.55000000000001
3,88871,94.55000000000001
3,88899,94.55000000000001
3,88913,94.55000000000001
3,88939,94.55000000000001
3,88953,94.55000000000001
3,88967,94.55000000000001
3,88993,94.55000000000001
3,89009,94.55000000000001
3,89023,94.55000000000001
3,89037,94.55000000000001
3,89067,94.55000000000001
3,89081,94.92999999999994
3,89099,103.25999999999998
3,89113,103.25999999999998
3,89127,103.25999999999998
3,89153,103.25999999999998
3,89167,103.25999999999998
3,89183,103.25999999999998
3,89209,110.37
3,89235,110.37
3,89263,110.37
3,89289,110.37
3,89321,110.37
3,89323,110.37
3,89325,110.37
3,89351,110.37
3,89365,110.37
3,89379,110.37
3,89393,110.37
3,89409,110.37
3,89437,110.37
3,89463,110.37
3,89465,110.37
3,89483,110.37
3,89511,110.37
3,89537,110.37
3,89553,110.37
3,89585,110.37
3,89601,110.37
3,89603,112.41999999999999
3,89617,112.41999999999999
3,89619,112.41999999999999
3,89651,112.41999999999999
3,89669,112.41999999999999
3,89683,112.41999999999999
3,89699,112.41999999999999
3,89715,112.41999999999999
3,89741,112.41999999999999
3,89755,112.41999999999999
3,89769,112.41999999999999
3,89771,112.41999999999999
3,89789,112.41999999999999
3,89819,112.41999999999999
3,89847,112.41999999999999
3,89861,112.41999999999999
3,89863,112.41999999999999
3,89891,112.41999999999999
3,89893,112.41999999999999
3,89919,113.96000000000002
3,89949,113.96000000000002
3,89981,113.96000000000002
3,90007,113.96000000000002
3,90025,113.96000000000002
3,90041,113.96000000000002
3,90055,113.96000000000002
3,90081,113.96000000000002
3,90109,113.96000000000002
3,90111,113.96000000000002
3,90125,113.96000000000002
3,90155,119.08
3,90183,119.08
3,90209,119.08
3,90235,119.08
3,90249,119.08
3,90275,119.08
3,90289,119.08
3,90309,119.08
3,90325,119.08
3,90351,119.08
3,90367,119.14
3,90369,119.14
3,90395,119.14
3,90421,119.14
3,90451,119.14
3,90465,119.14
3,90495,119.14
3,90511,119.14
3,90527,119.14
3,90555,119.14
3,90585,119.14
3,90603,119.14
3,90629,119.14
3,90643,119.14
3,90657,119.14
3,90683,119.14
3,90697,119.14
3,90723,119.14
3,90741,119.14
4,80682,28.629999999999995
4,80696,41.27000000000002
4,80718,41.27000000000002
4,84709,41.27000000000002
4,84723,41.27000000000002
4,84737,41.27000000000002
4,84751,41.87999999999998
4,84779,41.87999999999998
4,84797,41.87999999999998
4,84799,41.87999999999998
4,84827,45.66000000000001
4,84841,45.66000000000001
4,84855,45.66000000000001
4,84871,45.66000000000001
4,84873,45.66000000000001
4,84901,52.46000000000002
4,84929,52.46000000000002
4,84945,52.46000000000002
4,84959,52.46000000000002
4,84987,52.46000000000002
4,85015,52.46000000000002
4,85029,54.07000000000002
4,85045,54.07000000000002
4,85073,54.07000000000002
4,85075,54.07000000000002
4,85089,54.07000000000002
4,85117,54.07000000000002
4,85147,54.07000000000002
4,85163,54.07000000000002
4,85177,54.07000000000002
4,85191,54.07000000000002
4,85217,54.07000000000002
4,85245,54.07000000000002
4,85271,54.07000000000002
4,85299,54.07000000000002
4,85313,54.07000000000002
4,85329,57.3
4,85331,57.3
4,85333,57.3
4,85335,57.3
4,85349,57.3
4,85367,57.3
4,85369,57.3
4,85371,57.3
4,85401,57.3
4,85415,57.3
4,85417,57.3
4,85447,57.3
4,85449,57.3
4,85479,57.3
4,85507,57.3
4,85521,57.3
4,85547,57.3
4,85561,57.3
4,85587,57.3
4,85601,57.3
4,85615,57.3
4,85629,57.3
4,85655,57.3
4,85657,57.3
4,85671,60.11999999999999
4,85701,60.11999999999999
4,85719,61.509999999999984
4,85733,61.509999999999984
4,85747,61.509999999999984
4,85749,61.509999999999984
4,85763,61.509999999999984
4,85791,61.509999999999984
4,85805,61.509999999999984
4,85831,61.509999999999984
4,85859,73.47
4,85873,73.47
4,85901,73.47
4,85929,73.47
4,85931,73.47
4,85959,73.47
4,85973,73.47
4,86001,73.47
4,86003,73.47
4,86031,73.76000000000002
4,86045,73.76000000000002
4,86071,82.90999999999998
4,86085,82.90999999999998
4,86101,82.90999999999998
4,86131,82.90999999999998
4,86145,82.90999999999998
4,86147,82.90999999999998
4,86175,82.90999999999998
4,86189,82.90999999999998
4,86219,82.90999999999998
4,86233,82.90999999999998
4,86263,82.90999999999998
4,86289,82.90999999999998
4,86303,82.90999999999998
4,86319,82.90999999999998
4,86353,82.90999999999998
4,86379,82.90999999999998
4,86405,82.90999999999998
4,86433,82.90999999999998
4,86453,82.90999999999998
4,86483,82.90999999999998
4,86509,89.88000000000001
4,86545,89.88000000000001
4,86571,89.88000000000001
4,86587,89.88000000000001
4,86601,89.88000000000001
4,86603,97.58999999999999
4,86619,97.58999999999999
4,86647,97.58999999999999
4,86661,97.58999999999999
4,86663,97.58999999999999
4,86677,97.58999999999999
4,86693,97.58999999999999
4,86719,97.58999999999999
4,86733,97.58999999999999
4,86749,97.58999999999999
4,86775,97.58999999999999
4,86777,97.58999999999999
4,86791,97.58999999999999
4,86805,97.58999999999999
4,86819,97.58999999999999
4,86849,97.58999999999999
4,86879,97.58999999999999
4,86893,97.58999999999999
4,86913,97.58999999999999
4,86915,97.58999999999999
4,86933,97.58999999999999
4,86959,97.58999999999999
4,86973,97.58999999999999
4,87001,97.58999999999999
4,87027,97.58999999999999
